lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0.9,0.3,2,1.5811388300841898,1.4,14,7,12,0.19370643940831708,0.042258685945542565,0.004181549112957831,0.04888888888888889,14,7,12,0.19374908169769067,0.042264423019111305,0.004179231460579767,0.04888888888888889
0.9998,0.3,2,1.5811388300841898,1.4,13,7,11,0.18812825239134962,0.04728866671324878,0.15957654279066755,0.05800180183207778,14,7,12,0.19374908169769064,0.04226442301911132,0.004179231460579713,0.04888888888888888
0,0.5,2,1.5811388300841898,1.4,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
0.5,0.5,2,1.5811388300841898,1.4,14,7,12,0.19374466609673086,0.04226374363146448,0.00417946514161344,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
0.9,0.5,2,1.5811388300841898,1.4,14,7,12,0.19370643940831708,0.042258685945542565,0.004181549112957831,0.04888888888888889,14,7,12,0.19374908169769067,0.042264423019111305,0.004179231460579767,0.04888888888888889
0.9998,0.5,2,1.5811388300841898,1.4,13,7,11,0.18812825239134962,0.04728866671324878,0.15957654279066755,0.05800180183207778,14,7,12,0.19374908169769064,0.04226442301911132,0.004179231460579713,0.04888888888888888
0,0.9,2,1.5811388300841898,1.4,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
0.5,0.9,2,1.5811388300841898,1.4,14,7,12,0.19374466609673086,0.04226374363146448,0.00417946514161344,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
0.9,0.9,2,1.5811388300841898,1.4,14,7,12,0.19370643940831708,0.042258685945542565,0.004181549112957831,0.04888888888888889,14,7,12,0.19374908169769067,0.042264423019111305,0.004179231460579767,0.04888888888888889
0.9998,0.9,2,1.5811388300841898,1.4,13,7,11,0.18812825239134962,0.04728866671324878,0.15957654279066755,0.05800180183207778,14,7,12,0.19374908169769064,0.04226442301911132,0.004179231460579713,0.04888888888888888
0,0.3,4,1.5811388300841898,1.4,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.5,0.3,4,1.5811388300841898,1.4,1,6,12,0.17759689014228666,0.00955572578045173,0.0037291871949164898,0.04888888888888889,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.9,0.3,4,1.5811388300841898,1.4,1,6,12,0.17755250690321292,0.009573431810011739,0.003792210175504296,0.04888888888888889,1,6,12,0.17760306022854422,0.009553500141025335,0.003721721237196897,0.048888888888888885
0.9998,0.3,4,1.5811388300841898,1.4,0,5,12,0.11465560982566661,0.031241766358619152,0.11050662782425114,0.049799946617963234,1,6,12,0.1776030602285443,0.009553500141025337,0.0037217212371969083,0.048888888888888905
0,0.5,4,1.5811388300841898,1.4,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.5,0.5,4,1.5811388300841898,1.4,1,6,12,0.17759689014228666,0.00955572578045173,0.0037291871949164898,0.04888888888888889,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.9,0.5,4,1.5811388300841898,1.4,1,6,12,0.17755250690321292,0.009573431810011739,0.003792210175504296,0.04888888888888889,1,6,12,0.17760306022854422,0.009553500141025335,0.003721721237196897,0.048888888888888885
0.9998,0.5,4,1.5811388300841898,1.4,0,5,12,0.11465560982566661,0.031241766358619152,0.11050662782425114,0.049799946617963234,1,6,12,0.1776030602285443,0.009553500141025337,0.0037217212371969083,0.048888888888888905
0,0.9,4,1.5811388300841898,1.4,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.5,0.9,4,1.5811388300841898,1.4,1,6,12,0.17759689014228666,0.00955572578045173,0.0037291871949164898,0.04888888888888889,1,6,12,0.17760306022854425,0.009553500141025338,0.0037217212371969477,0.048888888888888885
0.9,0.9,4,1.5811388300841898,1.4,1,6,12,0.17755250690321292,0.009573431810011739,0.003792210175504296,0.04888888888888889,1,6,12,0.17760306022854422,0.009553500141025335,0.003721721237196897,0.048888888888888885
